date,year,tournament,match_weight,home_team,away_team,home_goals,away_goals,outcome,neutral
2002-03-27,2002,Friendly,0.3,Luxembourg,Latvia,0.0,3.0,-1,False
2002-03-27,2002,Friendly,0.3,Malta,Andorra,1.0,1.0,0,False
2002-03-27,2002,Friendly,0.3,Moldova,Hungary,0.0,2.0,-1,False
2002-03-27,2002,Friendly,0.3,Netherlands,Spain,1.0,0.0,1,False
2002-03-27,2002,Friendly,0.3,Poland,Japan,0.0,2.0,-1,False
2002-03-27,2002,Friendly,0.3,Portugal,Finland,1.0,4.0,-1,False
2002-03-27,2002,Friendly,0.3,Romania,Ukraine,4.0,1.0,1,False
2002-03-27,2002,Friendly,0.3,Saudi Arabia,Uruguay,3.0,2.0,1,False
2002-03-27,2002,Friendly,0.3,Senegal,Bolivia,2.0,1.0,1,False
2002-03-27,2002,Friendly,0.3,Sweden,Switzerland,1.0,1.0,0,False
2002-03-27,2002,Friendly,0.3,Tunisia,Norway,0.0,0.0,0,False
2002-03-27,2002,Friendly,0.3,Wales,Czech Republic,0.0,0.0,0,False
2002-03-30,2002,COSAFA Cup,0.5,Botswana,South Africa,0.0,0.0,0,False
2002-03-30,2002,Friendly,0.3,Eswatini,Mozambique,1.0,2.0,-1,False
2002-03-31,2002,Friendly,0.3,Eswatini,Mozambique,1.0,1.0,0,False
2002-04-04,2002,Friendly,0.3,Sri Lanka,Maldives,1.0,0.0,1,False
2002-04-06,2002,Friendly,0.3,Sri Lanka,Maldives,1.0,1.0,0,False
2002-04-07,2002,COSAFA Cup,0.5,Lesotho,Mozambique,0.0,2.0,-1,False
2002-04-09,2002,Friendly,0.3,Singapore,Maldives,2.0,0.0,1,False
2002-04-10,2002,Friendly,0.3,Yemen,Ethiopia,1.0,1.0,0,False
2002-04-17,2002,Friendly,0.3,Andorra,Albania,2.0,0.0,1,False
2002-04-17,2002,Friendly,0.3,Austria,Cameroon,0.0,0.0,0,False
2002-04-17,2002,Friendly,0.3,Belgium,Slovakia,1.0,1.0,0,False
