date,year,tournament,match_weight,home_team,away_team,home_goals,away_goals,outcome,neutral,home_elo,away_elo,elo_diff,home_elo_adj,expected_home,K,elo_delta,home_form,away_form,form_diff
1982-06-15,1982,FIFA World Cup,1.0,Hungary,El Salvador,10.0,1.0,1,True,1661.3,1578.4,82.9,1661.3,0.6171,60,22.97,21.369999999999983,8.73,12.639999999999983
1982-06-15,1982,FIFA World Cup,1.0,Peru,Cameroon,0.0,0.0,0,True,1631.1,1636.3,-5.2,1631.1,0.4925,60,0.45,41.06,2.8699999999999966,38.190000000000005
1982-06-15,1982,FIFA World Cup,1.0,Scotland,New Zealand,5.0,2.0,1,True,1680.6,1634.3,46.4,1680.6,0.5663,60,26.02,26.950000000000017,-9.500000000000007,36.450000000000024
1982-06-16,1982,FIFA World Cup,1.0,England,France,3.0,1.0,1,True,1749.6,1678.6,70.9,1749.6,0.6007,60,23.96,46.690000000000026,-39.21,85.90000000000003
1982-06-16,1982,FIFA World Cup,1.0,Germany,Algeria,1.0,2.0,-1,True,1905.2,1648.6,256.6,1905.2,0.8141,60,-48.85,-52.280000000000015,18.900000000000002,-71.18000000000002
1982-06-16,1982,FIFA World Cup,1.0,Spain,Honduras,1.0,1.0,0,False,1703.8,1575.8,128.0,1803.8,0.7879,60,-17.27,-2.240000000000002,9.760000000000014,-12.000000000000016
1982-06-17,1982,FIFA World Cup,1.0,Chile,Austria,0.0,1.0,-1,True,1638.2,1758.9,-120.7,1638.2,0.3329,60,-19.98,-17.629999999999995,38.49000000000002,-56.12000000000002
1982-06-17,1982,FIFA World Cup,1.0,Czechoslovakia,Kuwait,1.0,1.0,0,True,1700.4,1673.4,27.0,1700.4,0.5387,60,-2.32,-3.519999999999994,-5.66,2.1400000000000063
1982-06-17,1982,FIFA World Cup,1.0,Yugoslavia,Northern Ireland,0.0,0.0,0,True,1737.7,1605.0,132.8,1737.7,0.6823,60,-10.94,21.69999999999998,-13.900000000000025,35.60000000000001
1982-06-18,1982,FIFA World Cup,1.0,Argentina,Hungary,4.0,1.0,1,True,1754.7,1684.3,70.4,1754.7,0.5999,60,24.0,-6.710000000000033,-15.330000000000016,8.619999999999983
1982-06-18,1982,FIFA World Cup,1.0,Brazil,Scotland,4.0,1.0,1,True,1910.2,1706.6,203.6,1910.2,0.7635,60,14.19,34.84999999999997,4.090000000000019,30.759999999999955
